county,mean_stars,mean_review_count,mean_is_open,mean_RestaurantsTableService,mean_BikeParking,mean_WiFi,mean_BusinessAcceptsCreditCards,mean_RestaurantsReservations,mean_WheelchairAccessible,mean_Caters,mean_OutdoorSeating,mean_RestaurantsGoodForGroups,mean_BusinessAcceptsBitcoin,max_stars,max_review_count,min_stars,min_review_count,county
Howard,4.5,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,16.0,4.5,16.0,Howard
Jackson,2.375,18.0,0.75,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,3.5,46.0,1.5,5.0,Jackson
Jefferson,3.3181818181818183,20.90909090909091,0.7272727272727273,0.09090909090909091,0.45454545454545453,0.45454545454545453,0.8181818181818182,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.45454545454545453,0.2727272727272727,0.0,5.0,81.0,2.0,5.0,Jefferson
Kerr,4.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,4.0,5.0,Kerr
Kings,5.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,5.0,7.0,Kings
Lake,3.511217948717949,34.22596153846154,0.8605769230769231,0.09935897435897435,0.40224358974358976,0.2708333333333333,0.8125,0.10576923076923077,0.1907051282051282,0.17147435897435898,0.17147435897435898,0.28685897435897434,0.0,5.0,609.0,1.0,5.0,Lake
Lee,2.5,31.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,31.0,2.5,31.0,Lee
Licking,3.545,19.23,0.87,0.08,0.29,0.25,0.79,0.03,0.16,0.14,0.19,0.38,0.0,5.0,141.0,1.5,5.0,Licking
Madison,3.5980392156862746,16.147058823529413,0.9117647058823529,0.08823529411764706,0.27450980392156865,0.27450980392156865,0.7549019607843137,0.0784313725490196,0.10784313725490197,0.1568627450980392,0.14705882352941177,0.3137254901960784,0.0,5.0,224.0,1.0,5.0,Madison
Marion,4.0,9.333333333333334,1.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,4.5,16.0,3.0,5.0,Marion
Maverick,5.0,19.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,19.0,5.0,19.0,Maverick
Miami-Dade,4.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,4.0,5.0,Miami-Dade
Middlesex,3.6665451097658814,50.965648019838085,0.7661731456494785,0.05623222230326016,0.35803369557289766,0.18707607030851142,0.7481584129531034,0.09000072934140471,0.12960396761724163,0.12530085332944352,0.07694551819706805,0.1790533148566844,0.0029902997593173365,5.0,1965.0,1.0,5.0,Middlesex
Milwaukee,3.5,7.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,7.0,3.5,7.0,Milwaukee
Montgomery,2.25,45.0,1.0,0.0,0.0,0.5,1.0,0.5,0.0,0.5,0.0,0.5,0.0,3.0,72.0,1.5,18.0,Montgomery
Morrow,3.0,73.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,73.0,3.0,73.0,Morrow
Mower,3.5,6.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.5,6.0,3.5,6.0,Mower
Multnomah,3.936479622687145,63.91510460757044,0.7141129519893579,0.05835046559438868,0.467650260007256,0.23636473576006772,0.7879429193372838,0.07836497762728262,0.19603337767565607,0.11712419881485064,0.2136292175595598,0.2561373805780626,0.003990809045833837,5.0,9185.0,1.0,5.0,Multnomah
Muscogee,1.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,1.0,11.0,Muscogee
Nantucket,3.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,3.0,13.0,Nantucket
New York,4.5,12.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.5,12.0,4.5,12.0,New York
Norfolk,3.57388178913738,40.63482428115016,0.7971246006389776,0.05527156549520767,0.33817891373801917,0.1891373801916933,0.7592651757188499,0.08370607028753993,0.1305111821086262,0.12252396166134186,0.06884984025559106,0.18067092651757188,0.0022364217252396168,5.0,1578.0,1.0,5.0,Norfolk
Norfolk city,3.5,118.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.5,118.0,3.5,118.0,Norfolk city
Nueces,1.5,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,18.0,1.5,18.0,Nueces
Oklahoma,2.5,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,6.0,2.5,6.0,Oklahoma
Orange,3.5837982832618027,59.19427753934192,0.8099427753934192,0.09148783977110157,0.37560801144492134,0.2898426323319027,0.8138054363376251,0.1080829756795422,0.18776824034334763,0.15729613733905579,0.1811158798283262,0.2869098712446352,0.002932761087267525,5.0,3236.0,1.0,5.0,Orange
Osceola,3.3884758364312266,40.88289962825279,0.837360594795539,0.11152416356877323,0.37592936802973975,0.32899628252788105,0.8173791821561338,0.11198884758364312,0.1812267657992565,0.18076208178438663,0.1733271375464684,0.3118029739776952,0.0027881040892193307,5.0,1144.0,1.0,5.0,Osceola
Palm Beach,3.5,23.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,23.0,3.5,23.0,Palm Beach
Paulding,5.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,5.0,7.0,Paulding
Pickaway,3.392857142857143,12.142857142857142,0.9285714285714286,0.07142857142857142,0.39285714285714285,0.21428571428571427,0.6785714285714286,0.07142857142857142,0.07142857142857142,0.10714285714285714,0.25,0.42857142857142855,0.03571428571428571,5.0,40.0,1.5,5.0,Pickaway
Pinellas,3.0,34.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,34.0,3.0,34.0,Pinellas
Plymouth,3.628158844765343,33.51263537906137,0.8140794223826715,0.05054151624548736,0.37906137184115524,0.20216606498194944,0.776173285198556,0.09927797833935018,0.13537906137184116,0.12093862815884476,0.11732851985559567,0.1967509025270758,0.0018050541516245488,5.0,1118.0,1.0,5.0,Plymouth
Polk,3.2965616045845274,34.06303724928367,0.9169054441260746,0.10315186246418338,0.36962750716332377,0.2808022922636103,0.7822349570200573,0.0830945558739255,0.16905444126074498,0.15472779369627507,0.1518624641833811,0.2636103151862464,0.0,5.0,870.0,1.0,5.0,Polk
Prince George's,3.0,41.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,41.0,3.0,41.0,Prince George's
Providence,3.0,5.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,1.0,5.0,Providence
Rabun,3.5,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,5.0,3.5,5.0,Rabun
Robertson,2.0,50.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,50.0,2.0,50.0,Robertson
Rockdale,2.5,13.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,21.0,2.5,5.0,Rockdale
Rockingham,3.8333333333333335,31.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,4.5,81.0,3.0,6.0,Rockingham
Rockland,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,Rockland
San Bernardino,5.0,20.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,20.0,5.0,20.0,San Bernardino
San Francisco,3.5,15.333333333333334,1.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,5.0,35.0,2.0,5.0,San Francisco
Sandoval,3.5,5.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.5,5.0,3.5,5.0,Sandoval
Santa Clara,3.25,25.5,1.0,0.0,1.0,0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.0,4.0,34.0,2.5,17.0,Santa Clara
